trial,net_sharpe,gross_sharpe,mean_daily_turnover_equity,gross_pnl_usdt,total_costs_usdt
102,-1.0435703209632896,1.6217328833407911,1.6947242912963005,3703.0549329301657,6699.907903621404
103,-3.172834267460197,-0.35518860878139885,1.6889595466297818,-780.8301994694709,5525.710775762606
104,-1.614410692843832,0.9697285206085229,1.6889913084069175,2117.416211270666,6433.34140325796
105,-2.9884705942733616,-0.3850842385388147,1.6886356230524153,-867.7284605703861,5610.141442549657
106,-2.1851825696761895,1.0067027332886975,1.6913173944008424,1870.2070748073334,6506.961121732654
107,-2.799644542926047,-0.059015763424587635,1.6919622408333104,-249.31540524502026,5916.444332019368
108,-3.4116738416687995,-0.7391206309088088,1.7058751095248592,-1586.0325729835545,5732.659971045411
109,-3.6213420340945617,-1.221239608722389,1.7010345630204473,-2259.0555361450856,5026.220328691938
110,-2.584982614224306,0.3162034871744993,1.6988171745387755,502.02019622819205,6012.8011231281625
111,-1.9929397258322825,-0.12356401724767213,1.686663605135584,-608.0228632246834,5671.858718925584
112,-2.994269780593646,-1.0799228300159032,1.6958836547900171,-2301.023685739889,4961.245953499499
113,-1.9819378490680672,-0.09875524828049795,1.6957593302810936,-460.750542621149,5386.654700325445
114,-1.7534895373734847,0.7770589330010721,1.6937884982228992,1562.3806135839382,6036.457687206205
115,-1.5689913705982603,0.563401629471001,1.6928928335974078,1154.8658095998435,5908.901324118157
116,-1.3157356555689963,-0.31867117000936923,1.7003941078344642,-1662.3406843723562,5191.690144968794
117,-1.9032564623175097,-0.06687319039493513,1.6932562999256435,-363.7403211625127,5269.431097124245
118,-2.4010806281752686,-0.11507238455389064,1.702032939045504,-370.73605953520666,5307.845808406562
119,-3.9900553528106117,-1.438450391809656,1.6847638546790045,-2589.497051854801,4734.544471835201
120,-2.6220464269874673,-0.7253079908818733,1.7035195100826814,-1807.4845631037638,5026.52136629545
121,-1.783574350656844,0.8209049175903008,1.6994364088586171,1732.825952812637,6403.36662589768
122,-3.3656025125675693,-1.0519546910744788,1.6846788655261455,-2147.606270145873,5073.785193087393
123,-2.1144530724266977,-0.5837117621262838,1.692405608938265,-1623.413546422465,5299.883137526438
124,-2.3747827783276048,0.07227880442271674,1.6953441066616592,-19.894618357652362,6461.355100400376
125,-2.5989806887716087,0.46030023360260497,1.6944620429760873,742.7275494942226,5918.669019801492
126,-1.4015506109447657,1.2064147809954184,1.691856445123406,2517.004492093029,6212.074773493293
127,-3.143954202609131,-0.5774272768339118,1.6959039112025385,-1230.3815165007445,5324.5864085754865
128,-3.214578491034181,-0.40117109076058943,1.6921576615924685,-896.2049991618197,5747.903211897236
129,-2.760371505235221,0.11120344361295957,1.6858370954998636,91.92357518604405,6017.586567496625
130,-1.7302425950484353,0.5848071477608957,1.6988389707643372,1128.2879472254176,5628.871514280952
131,-2.0655259361334566,0.3397032417012602,1.6957946185443586,585.5131574685566,5922.266204211005
132,-2.799438742730664,0.2727717097585623,1.6906003387730542,428.9615751064914,6530.005606210443
133,-0.7102570670774093,1.6926379070701223,1.6886319322326748,4294.994044596808,6675.742929639323
134,-3.0824340242574917,-0.30146023169569064,1.699637333202905,-683.3737638553486,5667.039862606663
135,-1.9808939161465282,0.008539692899096247,1.6955769998171741,-196.48779552624902,5645.384058135718
136,-3.292137711003745,-0.3633934594459016,1.699137589781771,-774.9443044788602,5517.061319452922
137,-2.7136868827249927,0.1231139831537679,1.685386525482244,113.83986582471456,5915.846319166263
138,-2.3655095850536925,-0.04252783005713294,1.6969427754419837,-238.85723529751684,5408.659050660631
139,-0.38250265797955435,1.2833300108721388,1.6902682800287139,4251.014014985454,6523.405957405194
140,-1.4314651356193622,0.9165505583394933,1.6946211613862474,2014.9837148599227,6149.421896864406
141,-2.521406792774376,0.07478711572982866,1.7039368324472703,-2.1812753732821193,6200.002751341558
142,-0.9570756845633019,1.978074065677884,1.682868390998316,4335.176576873334,6808.397487830678
143,-3.4676704937771974,-0.5838933491461915,1.6973222710064182,-1130.1893945810561,5589.151795422636
144,-3.496445544017223,-0.7225008853709063,1.7092798828545321,-1307.2808940957216,5180.195134026796
145,-3.0464611751815562,-0.8765422247391176,1.691672068892879,-1751.9734425450322,4787.028877519509
146,-1.778356846508601,0.4447129908556277,1.6978232422136865,922.3536591252685,5965.0844954300355
147,-2.0489375326172468,0.7620143434683283,1.697811726456871,1545.976815497662,6803.939980248538
148,-3.1570069504998806,-0.9177379783060835,1.6937442764489132,-1871.0960604482432,4980.911271666169
149,-2.2471731465256686,0.6155684895935805,1.6873269031434555,1147.0877161909757,6384.638981681351
150,-2.3642215606704267,-0.18834067175036454,1.6932774972337128,-582.5815461516113,5359.5281978962375
