entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,exit_detail,gross_before_execution_costs,slippage_cost,entry_fee,exit_fee,funding_cost,initial_risk_usdt,initial_risk_fraction,initial_distance,entry_equity,peak_completed_close_r,first_trailing_update_r,trailing_updates,hours
2025-08-07 23:00:00+00:00,2025-08-08 06:00:00+00:00,1,0.08700000000000001,117546.35333,116351.52664702568,-117.18102131356682,stop,trailing_stop,-97.84519555743461,6.10472586133146,6.135919643826,6.07354969097474,1.0216305600000002,187.48639043139693,0.018267226141563824,2155.0159819700793,10263.539137165713,-0.05454870450312387,-0.05454870450312387,1,7.0
2025-08-10 04:00:00+00:00,2025-08-10 07:00:00+00:00,1,0.085,118554.15558,117633.84834567958,-90.27170311744587,stop,trailing_stop,-72.20332731543073,6.022787601805476,6.04626193458,5.999326265629659,0.0,142.28624344861998,0.014023380785891965,1673.955805277882,10146.358115852147,-0.03438297463919352,-0.03438297463919352,1,3.0
2025-08-10 15:00:00+00:00,2025-08-11 09:00:00+00:00,1,0.084,118814.13355,121107.62634530777,177.5403839471293,stop,trailing_stop,198.69944103816385,6.046046232311056,5.988232330920001,6.103824367803511,3.0209541600000005,157.79043201351115,0.01569103779912735,1878.4575239703706,10056.086412734701,1.8609771077555306,-0.01524311816190436,7,18.0
2025-08-13 20:00:00+00:00,2025-08-14 05:00:00+00:00,1,0.064,122809.03166,122279.35827262877,-44.10000584517115,stop,trailing_stop,-29.193402332458646,4.705694459299558,4.715866815744,4.6955273576689445,0.78951488,190.56606108519333,0.018621556645683306,2977.594704456146,10233.626796681832,0.3708927673558959,0.04596607449468169,3,9.0
2025-08-18 02:00:00+00:00,2025-08-18 15:00:00+00:00,-1,0.08700000000000001,116179.23577000001,115852.06424737153,16.42511470550389,stop,trailing_stop,34.519942505926075,6.056020037247716,6.064556107194001,6.047477753712794,-0.07322609773232754,145.80467140097633,0.014309268172502086,1675.9157632296128,10189.52679083666,0.8236904266237164,0.4708683976331158,8,13.0
2025-08-19 15:00:00+00:00,2025-08-20 08:00:00+00:00,-1,0.075,113799.44992000001,114030.26162575744,-25.853641254582325,stop,trailing_stop,-12.184710518652718,5.126167413154327,5.1209752464000005,5.131361773159084,-1.7095736967838049,190.07061570345869,0.0186235068970141,2534.274876046116,10205.951905542164,0.3840743280060422,0.02586535526181284,4,17.0
2025-08-25 21:00:00+00:00,2025-08-26 12:00:00+00:00,-1,0.056,109488.34364,110817.60092193173,-80.81608410507283,stop,trailing_stop,-70.73727428589156,3.7011335022852307,3.6788083463039998,3.723471390976906,-1.0246034203848706,194.30442234983397,0.019086694185601917,3469.7218276756066,10180.098264287582,0.12691035819865595,-0.10766176038101477,2,15.0
2025-08-29 15:00:00+00:00,2025-08-30 15:00:00+00:00,-1,0.062,108132.45053,108793.69111373485,-47.6501717425782,stop,trailing_stop,-36.96209328357599,4.034822907984633,4.022527159716,4.047125309430936,-1.4163969181293594,188.87499582682395,0.018701823798670282,3046.3709004326442,10099.28218018251,0.2379718536232882,-0.06606203793878607,4,24.0
2025-09-05 08:00:00+00:00,2025-09-05 14:00:00+00:00,1,0.082,112940.77206999999,111977.07193480614,-90.08936901093236,stop,trailing_stop,-73.4904387375178,5.532972348378095,5.556685985844,5.509271939192462,0.0,185.74963868840342,0.01847955023944741,2265.2394962000417,10051.632008439932,0.10547579203029477,-0.1554237733319583,2,6.0
2025-09-10 13:00:00+00:00,2025-09-11 12:00:00+00:00,1,0.08700000000000001,113414.014,113419.86842920758,-12.804623445865268,stop,trailing_stop,6.429700251133924,5.9203649100742775,5.9202115308000005,5.920517132004636,1.4732301241202772,170.8145080081472,0.017147395156654005,1963.385149518933,9961.542639428999,0.4752434845647244,0.25246498381708454,4,23.0
2025-09-11 14:00:00+00:00,2025-09-12 12:00:00+00:00,1,0.08600000000000001,114621.97628,114740.15049733045,-3.4215980978148157,stop,trailing_stop,16.080527008521255,5.917544318102387,5.914493976048001,5.920591765662251,1.7494950465234322,173.3845215212225,0.017427790463742415,2016.0990874560755,9948.738015983134,0.580786791326546,-0.10186814788907109,6,22.0
2025-09-12 19:00:00+00:00,2025-09-13 01:00:00+00:00,1,0.085,116484.83497,115624.55167068809,-85.07504015177716,stop,trailing_stop,-67.20529713065174,5.918783310860462,5.94072658347,5.896852135205092,0.11338099158986836,156.22879381986564,0.01570878062149024,1837.985809645478,9945.31641788532,0.04905643423732164,0.04905643423732164,1,6.0
2025-09-17 06:00:00+00:00,2025-09-17 10:00:00+00:00,1,0.084,117086.31536,116252.4280911627,-82.11131643528175,stop,trailing_stop,-64.16640002234001,5.880130559992679,5.901150294143999,5.8591223757946,0.30451318301045044,151.48172312503846,0.015362881832397675,1803.353846726648,9860.241377733542,0.04634955039562498,0.04634955039562498,1,4.0
2025-09-18 04:00:00+00:00,2025-09-18 23:00:00+00:00,1,0.074,117582.16406999998,116822.32902683146,-68.37128908797015,stop,trailing_stop,-51.02401803988416,5.203775154586673,5.220648084707999,5.186911408791317,1.7359364,181.9158066227647,0.018604355381074918,2458.321711118442,9778.13006129826,0.07921499009639892,-0.0023447175257496054,5,19.0
2025-09-22 06:00:00+00:00,2025-09-22 14:00:00+00:00,-1,0.085,113560.22171000001,113328.73228390071,7.735165454532439,stop,trailing_stop,25.46227183688905,5.78567061844835,5.791571307210001,5.7797653464789365,0.3700991102193271,127.63401646399377,0.013144921460797494,1501.5766642822796,9709.75877221029,0.8425954798683293,0.5459739282721705,3,8.0
2025-09-25 18:00:00+00:00,2025-09-26 18:00:00+00:00,-1,0.063,108757.96282000002,110099.62395854405,-92.13203843922922,stop,trailing_stop,-80.38825057310336,4.136401155170759,4.111050994596,4.161765785632965,-0.6654300692738724,182.3194603410743,0.01876198344044317,2893.95968795356,9717.493937664822,-0.013178200152110279,-0.33101262052388036,5,24.0
2025-09-29 20:00:00+00:00,2025-09-30 07:00:00+00:00,1,0.084,114240.66191999998,113538.81610938661,-70.79121732971392,stop,trailing_stop,-53.21501003453555,5.740038056988091,5.757729360767999,5.722356331913085,0.35608354550919447,162.56061005413272,0.01688877901486608,1935.2453577872943,9625.361899225594,0.11917769448300032,-0.028142126671864102,4,11.0
2025-10-01 09:00:00+00:00,2025-10-02 15:00:00+00:00,1,0.075,116101.72007,118499.17590065314,166.98043837262094,stop,trailing_stop,185.08772411622047,5.278536817234993,5.224577403149999,5.332462915529391,2.2717086076851625,176.45501469297642,0.018468125943882086,2352.7335292396856,9554.570681895879,1.4784419428595854,0.10871606445064037,16,30.0
2025-10-02 16:00:00+00:00,2025-10-03 08:00:00+00:00,1,0.07200000000000001,119916.66420999999,119461.47233307263,-44.124826502591375,stop,trailing_stop,-27.603249873732686,5.170565265037354,5.180399893872,5.160735604788737,1.0098758651606021,181.15116366718988,0.018633977379340954,2515.988384266526,9721.551120268497,0.3417487121073,-0.0841674036828785,4,16.0
2025-10-03 16:00:00+00:00,2025-10-05 09:00:00+00:00,1,0.073,122251.76453,123851.25086391994,102.33529750418714,stop,trailing_stop,122.15216940697726,5.3896670308219115,5.354627286413999,5.424684787839692,3.6478927977145252,180.07080940632753,0.01860730363013224,2466.7234165250347,9677.426293765906,1.1747305962993402,0.10736326100681731,9,41.0
