attempt,label,selectable,eligible,development_score,audit_sharpe,audit_return,audit_trades
1,baseline,True,True,0.6876450680244969,-0.10182190048235543,-0.03171473786993906,124.0
2,zero_fees_diagnostic,False,False,1.0550463834305883,0.4765096428806448,0.08641335795989158,124.0
3,zero_slippage_diagnostic,False,False,0.8676110706901314,0.17464800523878157,0.021889940891864912,124.0
4,zero_funding_diagnostic,False,False,0.7059220821773418,-0.09766954130007027,-0.030912803094434227,124.0
5,zero_all_costs_diagnostic,False,False,1.2488855559972285,0.7594871053435037,0.15162946940915667,124.0
6,double_costs_stress,False,False,0.14084947890042565,-1.3669758280235418,-0.22177888095500053,117.0
7,long_only_diagnostic,False,False,0.9257597261362817,-0.6315178345532118,-0.08714499440766088,70.0
8,short_only_diagnostic,False,False,0.22233763852004831,0.4672112638694733,0.06072760946873612,54.0
9,risk_3pct_diagnostic,False,False,0.7706227280433268,-0.02295507324797219,-0.027922407960189632,124.0
10,trailing_off,True,True,0.1694981645452236,0.051714054361547024,-0.012702465014062136,89.0
11,trailing_width_3,True,True,0.5111861672148871,-0.4772934352275922,-0.119413450910419,112.0
12,trailing_width_4,True,True,0.21301317124976926,0.155188537444499,0.018495579764860937,98.0
13,trailing_width_6,True,True,0.3945633417915265,0.18009318052303588,0.024955469148620457,91.0
14,trailing_activation_0.5R,True,True,0.8666606829031016,-0.21372258561367563,-0.06877159410316613,101.0
15,trailing_activation_1.0R,True,True,0.22177791577606687,-0.44639190699430775,-0.1152835957413092,76.0
16,trailing_activation_2.0R,True,True,0.1694981645452236,0.051714054361547024,-0.012702465014062136,89.0
17,target_off,True,True,0.6814127997862942,0.20492851004310406,0.02921728384224953,115.0
18,target_3R,True,True,0.7582008061909508,0.28525199561679404,0.045964328319803016,120.0
19,target_4R,True,True,0.6640980834359612,0.24350830981573443,0.0387290946530896,117.0
20,initial_stop_2ATR,True,True,0.6400742862091524,-0.8388517181782031,-0.19984926401014058,144.0
21,initial_stop_3ATR,True,True,0.7768568192232829,0.09954386182836227,0.005690240630478405,130.0
22,initial_stop_5ATR,True,True,0.6105033554246525,0.01650098737895903,-0.0059543639659414005,122.0
23,ADX_15,True,True,0.11431531148815954,-0.027819123692084433,-0.017103068669445,119.0
24,ADX_20,True,True,-0.35532272519845026,-0.0745058518452049,-0.023796550687315343,103.0
25,ADX_25,True,True,-0.3223283313561994,-0.3571666871834033,-0.060606595379528505,74.0
26,cooldown_6h,True,True,0.28025383823134237,-0.31725998091818475,-0.06489927548852159,116.0
27,cooldown_12h,True,True,0.4796444085720651,-0.21105949401194474,-0.0456389699160934,107.0
28,pullback_EMA20,True,False,-1.598366445980882,-1.5262397774836802,-0.23938999474412448,128.0
