entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,flip_time,flip_price
2024-04-30 20:00:00+00:00,2024-05-03 13:00:00+00:00,-1,0.10300000000000001,59304.1,61086.4823050812,-185.3448901312306,stop,,
2024-05-20 17:00:00+00:00,2024-05-21 14:00:00+00:00,1,0.134,68195.0,70227.5,261.89843778717574,trail_exit,,
2024-06-21 09:00:00+00:00,2024-06-24 16:00:00+00:00,-1,0.147,63638.5,60263.874581722725,494.9051035357844,target,,
2024-06-24 17:00:00+00:00,2024-06-25 03:00:00+00:00,-1,0.146,60172.2,61503.62890695691,-198.10057422619184,stop,,
2024-07-04 09:00:00+00:00,2024-07-05 15:00:00+00:00,-1,0.11800000000000001,57696.8,56131.99834304101,181.9925636831402,stop,,
2024-07-19 18:00:00+00:00,2024-07-29 14:00:00+00:00,1,0.124,66764.9,68236.1,162.10924073763374,trail_exit,,
2024-08-05 07:00:00+00:00,2024-08-05 15:00:00+00:00,-1,0.062,51584.0,54754.43927985187,-198.11601599326025,stop,,
2024-09-06 16:00:00+00:00,2024-09-09 13:00:00+00:00,-1,0.111,54040.6,55781.9305524559,-197.30218778067734,stop,,
2024-09-27 15:00:00+00:00,2024-10-19 11:00:00+00:00,1,0.145,66245.1,68090.8,225.15045522522956,trail_exit,,
2024-10-20 23:00:00+00:00,2024-10-30 03:00:00+00:00,1,0.14200000000000002,69149.7,72271.7,419.11070439708453,trail_exit,,
2024-11-06 04:00:00+00:00,2024-11-06 06:00:00+00:00,1,0.085,74377.9,75423.4,86.3208779,new_ath,,
2024-11-06 20:00:00+00:00,2024-11-07 17:00:00+00:00,1,0.082,75830.2,76422.0,41.74232497917756,new_ath,,
2024-11-07 19:00:00+00:00,2024-11-07 20:00:00+00:00,1,0.10300000000000001,76590.0,76750.0,13.321195999999999,new_ath,,
2024-11-10 05:00:00+00:00,2024-11-10 11:00:00+00:00,1,0.131,79279.0,79921.0,74.59178853614894,new_ath,,
2024-11-10 18:00:00+00:00,2024-11-10 22:00:00+00:00,1,0.122,80403.9,81150.0,87.08228484000071,new_ath,,
2024-11-11 11:00:00+00:00,2024-11-11 12:00:00+00:00,1,0.097,81999.2,82414.8,37.12356840000056,new_ath,,
2024-11-11 16:00:00+00:00,2024-11-11 18:00:00+00:00,1,0.089,84097.3,84978.6,75.42614898000026,new_ath,,
2024-11-11 19:00:00+00:00,2024-11-11 20:00:00+00:00,1,0.084,85908.2,87087.5,96.15487224000026,new_ath,,
2024-11-11 22:00:00+00:00,2024-11-11 23:00:00+00:00,1,0.077,87978.1,88447.5,33.42684575999955,new_ath,,
2024-11-12 00:00:00+00:00,2024-11-12 06:00:00+00:00,1,0.07200000000000001,88700.1,89800.0,76.6223985599996,new_ath,,
2024-11-13 15:00:00+00:00,2024-11-13 16:00:00+00:00,1,0.058,91536.0,92735.8,66.23562356300825,new_ath,,
2024-11-19 19:00:00+00:00,2024-11-20 13:00:00+00:00,1,0.084,93661.9,93949.0,18.886467445501278,new_ath,,
2024-11-20 14:00:00+00:00,2024-11-20 15:00:00+00:00,1,0.095,94390.6,94800.0,35.298378599999445,new_ath,,
2024-11-21 04:00:00+00:00,2024-11-21 05:00:00+00:00,1,0.09,95800.1,97745.0,171.55718819999944,new_ath,,
2024-11-21 12:00:00+00:00,2024-11-21 18:00:00+00:00,1,0.092,97999.9,98442.9,34.31563189889524,new_ath,,
